d,p_los,p_ref_perp,p_tot_perp,p_ref_par,p_tot_par
1.961762024006579175e+00,-5.886576960392811486e+01,-6.611637065470033292e+01,-5.587158648976200226e+01,-6.625061729320678694e+01,-6.294527219824406217e+01
1.973093081616731359e+00,-5.886831338747263231e+01,-6.611703772020990755e+01,-5.585149251035122120e+01,-6.625281902699740044e+01,-6.306072525048816146e+01
1.984489586954484297e+00,-5.887088512639954274e+01,-6.611771240860944943e+01,-5.583316663282053582e+01,-6.625504569317710946e+01,-6.317049351065761442e+01
1.995951918043248785e+00,-5.887348511110672433e+01,-6.611839480577549466e+01,-5.581666647387105940e+01,-6.625729756756017252e+01,-6.327362648240705312e+01
2.007480455089884153e+00,-5.887611363463741299e+01,-6.611908499852326315e+01,-5.580205146384187742e+01,-6.625957492886523426e+01,-6.336913155302181622e+01
2.019075580497307953e+00,-5.887877099269617531e+01,-6.611978307461629356e+01,-5.578938293111516344e+01,-6.626187805874255332e+01,-6.345598739115200004e+01
2.030737678877182706e+00,-5.888145748366461163e+01,-6.612048912277604984e+01,-5.577872419115998071e+01,-6.626420724180157151e+01,-6.353316082115287600e+01
2.042467137062670801e+00,-5.888417340861710159e+01,-6.612120323269175515e+01,-5.577014064050075604e+01,-6.626656276563851122e+01,-6.359962706587030112e+01
2.054264344121269126e+00,-5.888691907133640058e+01,-6.612192549503016892e+01,-5.576369985591709622e+01,-6.626894492086424293e+01,-6.365439297306734545e+01
2.066129691367710741e+00,-5.888969477832905142e+01,-6.612265600144549182e+01,-5.575947169919754742e+01,-6.627135400113230901e+01,-6.369652252620216615e+01
2.078063572376946944e+00,-5.889250083884081732e+01,-6.612339484458941286e+01,-5.575752842778889828e+01,-6.627379030316714648e+01,-6.372516361808150975e+01
2.090066382997203487e+00,-5.889533756487180938e+01,-6.612414211812117060e+01,-5.575794481170174777e+01,-6.627625412679239503e+01,-6.373957477717980424e+01
2.102138521363107415e+00,-5.889820527119168503e+01,-6.612489791671772821e+01,-5.576079825705132009e+01,-6.627874577495957453e+01,-6.373915032844968209e+01
2.114280387908896941e+00,-5.890110427535452686e+01,-6.612566233608399102e+01,-5.576616893663050689e+01,-6.628126555377671991e+01,-6.372344238860751631e+01
2.126492385381701045e+00,-5.890403489771367163e+01,-6.612643547296316626e+01,-5.577413992792965303e+01,-6.628381377253735707e+01,-6.369217817359877643e+01
2.138774918854899454e+00,-5.890699746143639004e+01,-6.612721742514722223e+01,-5.578479735903238179e+01,-6.628639074374957829e+01,-6.364527134515114426e+01
2.151128395741559896e+00,-5.890999229251836766e+01,-6.612800829148730486e+01,-5.579823056283083105e+01,-6.628899678316528821e+01,-6.358282652817683811e+01
2.163553225807951286e+00,-5.891301971979802943e+01,-6.612880817190438165e+01,-5.581453224001161573e+01,-6.629163220980971971e+01,-6.350513664745916742e+01
2.176049821187135969e+00,-5.891608007497072208e+01,-6.612961716739991402e+01,-5.583379863127008491e+01,-6.629429734601092150e+01,-6.341267329520513130e+01
2.188618596392640114e+00,-5.891917369260266923e+01,-6.613043538006662914e+01,-5.585612969920638449e+01,-6.629699251742970034e+01,-6.330607087616628093e+01
2.201259968332202277e+00,-5.892230091014481275e+01,-6.613126291309926330e+01,-5.588162932034799724e+01,-6.629971805308940702e+01,-6.318610571512743945e+01
2.213974356321604109e+00,-5.892546206794634855e+01,-6.613209987080563224e+01,-5.591040548771655239e+01,-6.630247428540619126e+01,-6.305367160256948011e+01
