step,estimated_conductivity_s_per_m,loss_nae
1.150000000000000000e+02,6.241378784179687500e-01,8.267181692644953728e-05
1.160000000000000000e+02,6.259090900421142578e-01,6.086741450417321175e-06
1.170000000000000000e+02,6.298325061798095703e-01,1.640338305151090026e-04
1.180000000000000000e+02,6.310123205184936523e-01,2.153473760699853301e-04
1.190000000000000000e+02,6.297188997268676758e-01,1.591027976246550679e-04
1.200000000000000000e+02,6.262352466583251953e-01,8.012925718503538519e-06
1.210000000000000000e+02,6.208460927009582520e-01,2.245930518256500363e-04
1.220000000000000000e+02,6.182707548141479492e-01,3.353101201355457306e-04
1.230000000000000000e+02,6.181709170341491699e-01,3.395477251615375280e-04
1.240000000000000000e+02,6.202849745750427246e-01,2.487859164830297232e-04
1.250000000000000000e+02,6.244125366210937500e-01,7.080652721924707294e-05
1.260000000000000000e+02,6.304016113281250000e-01,1.888430851977318525e-04
1.270000000000000000e+02,6.335121989250183105e-01,3.243693790864199400e-04
1.280000000000000000e+02,6.339926719665527344e-01,3.453262615948915482e-04
1.290000000000000000e+02,6.321111917495727539e-01,2.631937968544661999e-04
1.300000000000000000e+02,6.281450986862182617e-01,9.076179412659257650e-05
1.310000000000000000e+02,6.223711967468261719e-01,1.589487073943018913e-04
1.320000000000000000e+02,6.194067597389221191e-01,2.865391434170305729e-04
1.330000000000000000e+02,6.189104318618774414e-01,3.078042063862085342e-04
1.340000000000000000e+02,6.206179261207580566e-01,2.344551176065579057e-04
1.350000000000000000e+02,6.243252754211425781e-01,7.458184700226411223e-05
1.360000000000000000e+02,6.298767328262329102e-01,1.659600093262270093e-04
1.370000000000000000e+02,6.326525807380676270e-01,2.868473238777369261e-04
1.380000000000000000e+02,6.328948736190795898e-01,2.974028175231069326e-04
1.390000000000000000e+02,6.308636665344238281e-01,2.088753972202539444e-04
1.400000000000000000e+02,6.268260478973388672e-01,3.359264883329160511e-05
1.410000000000000000e+02,6.210479736328125000e-01,2.159637515433132648e-04
1.420000000000000000e+02,6.180188655853271484e-01,3.460967564024031162e-04
1.430000000000000000e+02,6.174057722091674805e-01,3.723698901012539864e-04
1.440000000000000000e+02,6.189499497413635254e-01,3.061091701965779066e-04
1.450000000000000000e+02,6.224509477615356445e-01,1.554815680719912052e-04
1.460000000000000000e+02,6.277551651000976562e-01,7.388841913780197501e-05
1.470000000000000000e+02,6.303714513778686523e-01,1.874562294688075781e-04
1.480000000000000000e+02,6.305345296859741211e-01,1.946216361830011010e-04
1.490000000000000000e+02,6.284952759742736816e-01,1.059401183738373220e-04
1.500000000000000000e+02,6.245110034942626953e-01,6.656892219325527549e-05
1.510000000000000000e+02,6.230715513229370117e-01,1.287461345782503486e-04
