step,power_db,theta_deg,phi_deg
1.140000000000000000e+02,-9.526422445806971950e+01,9.049584197998046875e+01,-2.241024672985076904e-01
1.150000000000000000e+02,-9.526306442063017244e+01,9.050239562988281250e+01,-2.270654439926147461e-01
1.160000000000000000e+02,-9.526190064417778558e+01,9.050898742675781250e+01,-2.300424873828887939e-01
1.170000000000000000e+02,-9.526073151272271389e+01,9.051560974121093750e+01,-2.330336123704910278e-01
1.180000000000000000e+02,-9.525955622135273870e+01,9.052226257324218750e+01,-2.360387593507766724e-01
1.190000000000000000e+02,-9.525837598880256962e+01,9.052893829345703125e+01,-2.390579134225845337e-01
1.200000000000000000e+02,-9.525719041474656024e+01,9.053565216064453125e+01,-2.420910298824310303e-01
1.210000000000000000e+02,-9.525600192961820767e+01,9.054239654541015625e+01,-2.451380640268325806e-01
1.220000000000000000e+02,-9.525480689793538147e+01,9.054917144775390625e+01,-2.481990009546279907e-01
1.230000000000000000e+02,-9.525360694161390995e+01,9.055597686767578125e+01,-2.512738108634948730e-01
1.240000000000000000e+02,-9.525240246881958228e+01,9.056281280517578125e+01,-2.543624341487884521e-01
1.250000000000000000e+02,-9.525119267563844971e+01,9.056967926025390625e+01,-2.574648857116699219e-01
1.260000000000000000e+02,-9.524997837414552748e+01,9.057657623291015625e+01,-2.605810761451721191e-01
1.270000000000000000e+02,-9.524875956821576040e+01,9.058350372314453125e+01,-2.637110054492950439e-01
1.280000000000000000e+02,-9.524753545465300419e+01,9.059046173095703125e+01,-2.668546438217163086e-01
1.290000000000000000e+02,-9.524630644146782288e+01,9.059745025634765625e+01,-2.700119912624359131e-01
1.300000000000000000e+02,-9.524507253291646691e+01,9.060446166992187500e+01,-2.731829881668090820e-01
1.310000000000000000e+02,-9.524383453966459001e+01,9.061151123046875000e+01,-2.763676047325134277e-01
1.320000000000000000e+02,-9.524259044989300094e+01,9.061858367919921875e+01,-2.795658111572265625e-01
1.330000000000000000e+02,-9.524134188080572017e+01,9.062569427490234375e+01,-2.827776074409484863e-01
