phi,Ed_dB,Etot_dB
90.7658,-24.6518,5.6142
90.9259,-24.5961,5.5828
91.0860,-24.5403,5.5490
91.2461,-24.4842,5.5129
91.4061,-24.4280,5.4747
91.5662,-24.3715,5.4347
91.7263,-24.3149,5.3931
91.8864,-24.2581,5.3500
92.0464,-24.2011,5.3058
92.2065,-24.1439,5.2607
92.3666,-24.0864,5.2149
92.5267,-24.0288,5.1686
92.6868,-23.9710,5.1220
92.8468,-23.9130,5.0754
93.0069,-23.8548,5.0289
93.1670,-23.7963,4.9827
93.3271,-23.7377,4.9369
93.4872,-23.6788,4.8917
93.6472,-23.6197,4.8471
93.8073,-23.5604,4.8032
93.9674,-23.5009,4.7599
94.1275,-23.4412,4.7174
94.2876,-23.3812,4.6753
94.4476,-23.3210,4.6337
94.6077,-23.2605,4.5924
94.7678,-23.1999,4.5512
94.9279,-23.1389,4.5098
95.0879,-23.0778,4.4678
95.2480,-23.0164,4.4250
95.4081,-22.9548,4.3810
95.5682,-22.8929,4.3353
95.7283,-22.8307,4.2874
95.8883,-22.7683,4.2369
96.0484,-22.7057,4.1831
96.2085,-22.6428,4.1256
96.3686,-22.5796,4.0636
96.5287,-22.5162,3.9966
96.6887,-22.4524,3.9239
96.8488,-22.3885,3.8448
97.0089,-22.3242,3.7586
97.1690,-22.2597,3.6645
97.3291,-22.1948,3.5617
97.4891,-22.1297,3.4493
97.6492,-22.0643,3.3266
97.8093,-21.9986,3.1927
97.9694,-21.9326,3.0464
98.1295,-21.8664,2.8869
98.2895,-21.7998,2.7130
98.4496,-21.7329,2.5236
98.6097,-21.6656,2.3173
98.7698,-21.5981,2.0928
98.9298,-21.5303,1.8486
99.0899,-21.4621,1.5828
99.2500,-21.3936,1.2936
99.4101,-21.3248,0.9789
99.5702,-21.2556,0.6361
99.7302,-21.1861,0.2624
99.8903,-21.1162,-0.1455
100.0504,-21.0460,-0.5916
100.2105,-20.9754,-1.0805
100.3706,-20.9045,-1.6178
100.5306,-20.8332,-2.2107
100.6907,-20.7616,-2.8676
100.8508,-20.6896,-3.5995
101.0109,-20.6171,-4.4209
101.1710,-20.5444,-5.3506
101.3310,-20.4712,-6.4147
101.4911,-20.3976,-7.6499
101.6512,-20.3236,-9.1103
101.8113,-20.2492,-10.8793
101.9713,-20.1744,-13.0895
102.1314,-20.0992,-15.9439
102.2915,-20.0236,-19.5512
102.4516,-19.9475,-21.9877
102.6117,-19.8710,-19.4343
102.7717,-19.7941,-15.7786
102.9318,-19.7167,-12.8799
103.0919,-19.6388,-10.6220
103.2520,-19.5605,-8.8029
103.4121,-19.4817,-7.2909
103.5721,-19.4025,-6.0036
103.7322,-19.3227,-4.8872
103.8923,-19.2425,-3.9052
104.0524,-19.1618,-3.0318
104.2125,-19.0805,-2.2482
104.3725,-18.9988,-1.5403
104.5326,-18.9165,-0.8971
104.6927,-18.8337,-0.3103
104.8528,-18.7503,0.2272
105.0128,-18.6664,0.7207
105.1729,-18.5820,1.1749
105.3330,-18.4970,1.5935
105.4931,-18.4114,1.9797
105.6532,-18.3252,2.3363
105.8132,-18.2384,2.6656
105.9733,-18.1511,2.9695
106.1334,-18.0631,3.2497
106.2935,-17.9744,3.5079
106.4536,-17.8852,3.7453
106.6136,-17.7953,3.9631
106.7737,-17.7047,4.1623
106.9338,-17.6135,4.3439
107.0939,-17.5216,4.5085
107.2540,-17.4290,4.6569
107.4140,-17.3357,4.7897
107.5741,-17.2416,4.9074
107.7342,-17.1468,5.0104
107.8943,-17.0513,5.0992
108.0544,-16.9550,5.1740
108.2144,-16.8580,5.2350
108.3745,-16.7601,5.2823
108.5346,-16.6615,5.3161
108.6947,-16.5620,5.3364
108.8547,-16.4617,5.3431
109.0148,-16.3605,5.3360
109.1749,-16.2585,5.3149
109.3350,-16.1555,5.2794
109.4951,-16.0517,5.2293
109.6551,-15.9469,5.1639
109.8152,-15.8412,5.0826
109.9753,-15.7345,4.9847
110.1354,-15.6268,4.8694
110.2955,-15.5181,4.7356
110.4555,-15.4084,4.5822
110.6156,-15.2977,4.4078
110.7757,-15.1858,4.2108
110.9358,-15.0728,3.9894
111.0959,-14.9588,3.7415
111.2559,-14.8435,3.4647
111.4160,-14.7271,3.1559
111.5761,-14.6095,2.8120
111.7362,-14.4906,2.4287
111.8962,-14.3705,2.0013
112.0563,-14.2491,1.5237
112.2164,-14.1263,0.9888
112.3765,-14.0022,0.3872
112.5366,-13.8766,-0.2927
112.6966,-13.7497,-1.0664
112.8567,-13.6212,-1.9546
113.0168,-13.4913,-2.9862
113.1769,-13.3598,-4.2033
113.3370,-13.2267,-5.6706
113.4970,-13.0919,-7.4951
113.6571,-12.9555,-9.8723
113.8172,-12.8173,-13.2172
113.9773,-12.6774,-18.6059
114.1374,-12.5356,-25.4981
114.2974,-12.3919,-17.9439
114.4575,-12.2463,-12.6355
114.6176,-12.0987,-9.2485
114.7777,-11.9490,-6.7863
114.9378,-11.7971,-4.8596
