step,rx_x_m,rx_y_m,rx_z_m,loss,power_db,ground_truth_power_db
7.800000000000000000e+01,8.951218605041503906e+00,-1.837747454643249512e+00,1.500000000000000000e+00,1.257885217666625977e+00,-9.533265263504296172e+01,-9.545272361794536664e+01
7.900000000000000000e+01,8.967067718505859375e+00,-1.798427820205688477e+00,1.500000000000000000e+00,1.207219481468200684e+00,-9.533442174438926031e+01,-9.545272361794536664e+01
8.000000000000000000e+01,8.982262611389160156e+00,-1.758905887603759766e+00,1.500000000000000000e+00,1.157674670219421387e+00,-9.533610220113783384e+01,-9.545272361794536664e+01
8.100000000000000000e+01,8.996879577636718750e+00,-1.719297051429748535e+00,1.500000000000000000e+00,1.109397888183593750e+00,-9.533770873432362691e+01,-9.545272361794536664e+01
8.200000000000000000e+01,9.010989189147949219e+00,-1.679709672927856445e+00,1.500000000000000000e+00,1.062483072280883789e+00,-9.533924909256276692e+01,-9.545272361794536664e+01
8.300000000000000000e+01,9.024659156799316406e+00,-1.640244722366333008e+00,1.500000000000000000e+00,1.017025232315063477e+00,-9.534072897732943375e+01,-9.545272361794536664e+01
8.400000000000000000e+01,9.037951469421386719e+00,-1.600995779037475586e+00,1.500000000000000000e+00,9.730865955352783203e-01,-9.534215698762180580e+01,-9.545272361794536664e+01
8.500000000000000000e+01,9.050923347473144531e+00,-1.562049269676208496e+00,1.500000000000000000e+00,9.307277798652648926e-01,-9.534354627405220128e+01,-9.545272361794536664e+01
8.600000000000000000e+01,9.063629150390625000e+00,-1.523484468460083008e+00,1.500000000000000000e+00,8.899772763252258301e-01,-9.534490010082140543e+01,-9.545272361794536664e+01
8.700000000000000000e+01,9.076118469238281250e+00,-1.485373616218566895e+00,1.500000000000000000e+00,8.508417010307312012e-01,-9.534622091151690881e+01,-9.545272361794536664e+01
8.800000000000000000e+01,9.088435173034667969e+00,-1.447782158851623535e+00,1.500000000000000000e+00,8.133284449577331543e-01,-9.534752601933278982e+01,-9.545272361794536664e+01
8.900000000000000000e+01,9.100621223449707031e+00,-1.410768628120422363e+00,1.500000000000000000e+00,7.774208784103393555e-01,-9.534881210548687136e+01,-9.545272361794536664e+01
9.000000000000000000e+01,9.112711906433105469e+00,-1.374385237693786621e+00,1.500000000000000000e+00,7.431045770645141602e-01,-9.535008824299598018e+01,-9.545272361794536664e+01
9.100000000000000000e+01,9.124740600585937500e+00,-1.338677763938903809e+00,1.500000000000000000e+00,7.103241682052612305e-01,-9.535135690280300480e+01,-9.545272361794536664e+01
9.200000000000000000e+01,9.136735916137695312e+00,-1.303685903549194336e+00,1.500000000000000000e+00,6.790552139282226562e-01,-9.535262345276723295e+01,-9.545272361794536664e+01
9.300000000000000000e+01,9.148721694946289062e+00,-1.269443631172180176e+00,1.500000000000000000e+00,6.492326259613037109e-01,-9.535388954511665816e+01,-9.545272361794536664e+01
9.400000000000000000e+01,9.160720825195312500e+00,-1.235979080200195312e+00,1.500000000000000000e+00,6.208065748214721680e-01,-9.535516097067430508e+01,-9.545272361794536664e+01
9.500000000000000000e+01,9.172750473022460938e+00,-1.203315258026123047e+00,1.500000000000000000e+00,5.937139391899108887e-01,-9.535643814780564753e+01,-9.545272361794536664e+01
9.600000000000000000e+01,9.184824943542480469e+00,-1.171469926834106445e+00,1.500000000000000000e+00,5.678914189338684082e-01,-9.535772604840801137e+01,-9.545272361794536664e+01
9.700000000000000000e+01,9.196956634521484375e+00,-1.140456318855285645e+00,1.500000000000000000e+00,5.432725548744201660e-01,-9.535902343980772855e+01,-9.545272361794536664e+01
9.800000000000000000e+01,9.209154129028320312e+00,-1.110283017158508301e+00,1.500000000000000000e+00,5.197998285293579102e-01,-9.536033240119630250e+01,-9.545272361794536664e+01
9.900000000000000000e+01,9.221423149108886719e+00,-1.080954551696777344e+00,1.500000000000000000e+00,4.974060356616973877e-01,-9.536165584292129438e+01,-9.545272361794536664e+01
1.000000000000000000e+02,9.233767509460449219e+00,-1.052471399307250977e+00,1.500000000000000000e+00,4.760296046733856201e-01,-9.536299253486333782e+01,-9.545272361794536664e+01
1.010000000000000000e+02,9.246189117431640625e+00,-1.024830579757690430e+00,1.500000000000000000e+00,4.556125402450561523e-01,-9.536434456184780117e+01,-9.545272361794536664e+01
1.020000000000000000e+02,9.258686065673828125e+00,-9.980257749557495117e-01,1.500000000000000000e+00,4.360990822315216064e-01,-9.536570986470798061e+01,-9.545272361794536664e+01
1.030000000000000000e+02,9.271256446838378906e+00,-9.720475673675537109e-01,1.500000000000000000e+00,4.174297451972961426e-01,-9.536708513740128978e+01,-9.545272361794536664e+01
1.040000000000000000e+02,9.283895492553710938e+00,-9.468838572502136230e-01,1.500000000000000000e+00,3.995589613914489746e-01,-9.536847785812817335e+01,-9.545272361794536664e+01
1.050000000000000000e+02,9.296596527099609375e+00,-9.225201010704040527e-01,1.500000000000000000e+00,3.824405372142791748e-01,-9.536988762846759471e+01,-9.545272361794536664e+01
1.060000000000000000e+02,9.309351921081542969e+00,-8.989396095275878906e-01,1.500000000000000000e+00,3.660313487052917480e-01,-9.537130408468814835e+01,-9.545272361794536664e+01
