phi,Ds_dB,Dh_dB
247.9274,-19.5920,-16.8778
248.2477,-19.8384,-17.0590
248.5680,-20.0798,-17.2352
248.8883,-20.3164,-17.4066
249.2087,-20.5485,-17.5736
249.5290,-20.7762,-17.7362
249.8493,-20.9997,-17.8947
250.1696,-21.2193,-18.0492
250.4899,-21.4351,-18.2000
250.8102,-21.6473,-18.3471
251.1306,-21.8559,-18.4908
251.4509,-22.0613,-18.6311
251.7712,-22.2634,-18.7683
252.0915,-22.4624,-18.9023
252.4118,-22.6584,-19.0334
252.7322,-22.8516,-19.1617
253.0525,-23.0421,-19.2872
253.3728,-23.2299,-19.4100
253.6931,-23.4152,-19.5303
254.0134,-23.5980,-19.6481
254.3337,-23.7784,-19.7635
254.6541,-23.9566,-19.8766
254.9744,-24.1325,-19.9875
255.2947,-24.3063,-20.0962
255.6150,-24.4781,-20.2028
255.9353,-24.6478,-20.3074
256.2557,-24.8157,-20.4100
256.5760,-24.9817,-20.5107
256.8963,-25.1458,-20.6096
257.2166,-25.3083,-20.7067
257.5369,-25.4690,-20.8020
257.8572,-25.6282,-20.8957
258.1776,-25.7857,-20.9877
258.4979,-25.9417,-21.0781
258.8182,-26.0962,-21.1669
259.1385,-26.2493,-21.2542
259.4588,-26.4010,-21.3401
259.7792,-26.5513,-21.4245
260.0995,-26.7003,-21.5076
260.4198,-26.8480,-21.5892
260.7401,-26.9945,-21.6696
261.0604,-27.1398,-21.7486
261.3807,-27.2840,-21.8264
261.7011,-27.4270,-21.9029
262.0214,-27.5689,-21.9783
262.3417,-27.7098,-22.0524
262.6620,-27.8496,-22.1254
