x,magnitude,phase
5.220568e-02,3.377641e-01,3.559196e+01
5.268921e-02,3.390428e-01,3.555307e+01
5.317723e-02,3.403250e-01,3.551405e+01
5.366977e-02,3.416108e-01,3.547488e+01
5.416687e-02,3.429002e-01,3.543558e+01
5.466857e-02,3.441931e-01,3.539613e+01
5.517492e-02,3.454896e-01,3.535655e+01
5.568596e-02,3.467896e-01,3.531682e+01
5.620174e-02,3.480933e-01,3.527695e+01
5.672229e-02,3.494004e-01,3.523694e+01
5.724766e-02,3.507111e-01,3.519679e+01
5.777790e-02,3.520254e-01,3.515650e+01
5.831305e-02,3.533432e-01,3.511606e+01
5.885316e-02,3.546645e-01,3.507549e+01
5.939827e-02,3.559894e-01,3.503476e+01
5.994843e-02,3.573178e-01,3.499390e+01
6.050368e-02,3.586498e-01,3.495289e+01
6.106408e-02,3.599853e-01,3.491174e+01
6.162966e-02,3.613243e-01,3.487045e+01
6.220049e-02,3.626668e-01,3.482901e+01
6.277660e-02,3.640129e-01,3.478743e+01
6.335805e-02,3.653625e-01,3.474570e+01
6.394488e-02,3.667155e-01,3.470382e+01
6.453715e-02,3.680721e-01,3.466180e+01
6.513491e-02,3.694322e-01,3.461964e+01
6.573820e-02,3.707958e-01,3.457733e+01
6.634708e-02,3.721629e-01,3.453487e+01
6.696160e-02,3.735334e-01,3.449227e+01
6.758181e-02,3.749075e-01,3.444952e+01
6.820777e-02,3.762850e-01,3.440662e+01
6.883952e-02,3.776660e-01,3.436358e+01
6.947713e-02,3.790504e-01,3.432039e+01
7.012064e-02,3.804383e-01,3.427705e+01
7.077011e-02,3.818297e-01,3.423356e+01
7.142559e-02,3.832245e-01,3.418993e+01
7.208715e-02,3.846228e-01,3.414614e+01
7.275484e-02,3.860245e-01,3.410221e+01
7.342870e-02,3.874296e-01,3.405813e+01
7.410882e-02,3.888381e-01,3.401390e+01
7.479523e-02,3.902501e-01,3.396952e+01
7.548799e-02,3.916654e-01,3.392499e+01
7.618718e-02,3.930842e-01,3.388031e+01
7.689284e-02,3.945064e-01,3.383548e+01
7.760503e-02,3.959319e-01,3.379051e+01
7.832383e-02,3.973608e-01,3.374538e+01
7.904928e-02,3.987931e-01,3.370010e+01
7.978145e-02,4.002288e-01,3.365467e+01
8.052040e-02,4.016678e-01,3.360908e+01
8.126619e-02,4.031102e-01,3.356335e+01
8.201889e-02,4.045559e-01,3.351746e+01
8.277857e-02,4.060049e-01,3.347143e+01
8.354528e-02,4.074572e-01,3.342524e+01
8.431909e-02,4.089129e-01,3.337890e+01
8.510007e-02,4.103718e-01,3.333240e+01
